block_id,conc_r,conc_c,inhibition,drug_row,drug_col,conc_r_unit,conc_c_unit,cell_line_name
2,10,1.08,36.11612493,5-FU,ABT-888,uM,uM,A2058
2,10,3.25,44.7345939,5-FU,ABT-888,uM,uM,A2058
2,10,10,50.94861983,5-FU,ABT-888,uM,uM,A2058
3,0,0,-0.000626454,5-FU,ABT-888,uM,uM,A2058
3,0,0.35,-1.993009468,5-FU,ABT-888,uM,uM,A2058
3,0,1.08,-0.957673319,5-FU,ABT-888,uM,uM,A2058
3,0,3.25,0.069628016,5-FU,ABT-888,uM,uM,A2058
3,0,10,1.138797977,5-FU,ABT-888,uM,uM,A2058
3,0.35,0,-1.753521357,5-FU,ABT-888,uM,uM,A2058
3,0.35,0.35,5.099487429,5-FU,ABT-888,uM,uM,A2058
3,0.35,1.08,8.321389843,5-FU,ABT-888,uM,uM,A2058
3,0.35,3.25,7.84398381,5-FU,ABT-888,uM,uM,A2058
3,0.35,10,20.47078214,5-FU,ABT-888,uM,uM,A2058
3,1.08,0,2.410257371,5-FU,ABT-888,uM,uM,A2058
3,1.08,0.35,12.09273832,5-FU,ABT-888,uM,uM,A2058
3,1.08,1.08,9.007378759,5-FU,ABT-888,uM,uM,A2058
3,1.08,3.25,17.36994384,5-FU,ABT-888,uM,uM,A2058
3,1.08,10,17.57307456,5-FU,ABT-888,uM,uM,A2058
3,3.25,0,15.05005528,5-FU,ABT-888,uM,uM,A2058
3,3.25,0.35,23.48057578,5-FU,ABT-888,uM,uM,A2058
3,3.25,1.08,15.9787853,5-FU,ABT-888,uM,uM,A2058
3,3.25,3.25,30.99782122,5-FU,ABT-888,uM,uM,A2058
3,3.25,10,37.46301065,5-FU,ABT-888,uM,uM,A2058
3,10,0,39.70676951,5-FU,ABT-888,uM,uM,A2058
3,10,0.35,42.14569461,5-FU,ABT-888,uM,uM,A2058
3,10,1.08,46.37612493,5-FU,ABT-888,uM,uM,A2058
3,10,3.25,48.9665939,5-FU,ABT-888,uM,uM,A2058
3,10,10,59.02661983,5-FU,ABT-888,uM,uM,A2058
4,0,0,-0.000626454,5-FU,ABT-888,uM,uM,A2058
4,0,0.35,-1.993009468,5-FU,ABT-888,uM,uM,A2058
4,0,1.08,-0.957673319,5-FU,ABT-888,uM,uM,A2058
4,0,3.25,0.069628016,5-FU,ABT-888,uM,uM,A2058
4,0,10,1.138797977,5-FU,ABT-888,uM,uM,A2058
4,0.35,0,-1.753521357,5-FU,ABT-888,uM,uM,A2058
4,0.35,0.35,0.373487429,5-FU,ABT-888,uM,uM,A2058
4,0.35,1.08,3.825389843,5-FU,ABT-888,uM,uM,A2058
4,0.35,3.25,9.03298381,5-FU,ABT-888,uM,uM,A2058
4,0.35,10,21.15578214,5-FU,ABT-888,uM,uM,A2058
4,1.08,0,2.410257371,5-FU,ABT-888,uM,uM,A2058
4,1.08,0.35,0.770738325,5-FU,ABT-888,uM,uM,A2058
4,1.08,1.08,5.128378759,5-FU,ABT-888,uM,uM,A2058
4,1.08,3.25,2.781943836,5-FU,ABT-888,uM,uM,A2058
4,1.08,10,13.21307456,5-FU,ABT-888,uM,uM,A2058
4,3.25,0,15.05005528,5-FU,ABT-888,uM,uM,A2058
4,3.25,0.35,15.12557578,5-FU,ABT-888,uM,uM,A2058
4,3.25,1.08,14.8307853,5-FU,ABT-888,uM,uM,A2058
4,3.25,3.25,19.44182122,5-FU,ABT-888,uM,uM,A2058
4,3.25,10,37.32401065,5-FU,ABT-888,uM,uM,A2058
4,10,0,39.70676951,5-FU,ABT-888,uM,uM,A2058
4,10,0.35,37.76969461,5-FU,ABT-888,uM,uM,A2058
4,10,1.08,37.47212493,5-FU,ABT-888,uM,uM,A2058
4,10,3.25,43.8755939,5-FU,ABT-888,uM,uM,A2058
4,10,10,35.85261983,5-FU,ABT-888,uM,uM,A2058
5,0,0,-0.000626454,5-FU,AZD1775,uM,uM,A2058
5,0,0.0325,0.800896132,5-FU,AZD1775,uM,uM,A2058
5,0,0.08,4.086087781,5-FU,AZD1775,uM,uM,A2058
5,0,0.2,31.53099507,5-FU,AZD1775,uM,uM,A2058
5,0,0.5,82.46170898,5-FU,AZD1775,uM,uM,A2058
5,0.35,0,-1.753521357,5-FU,AZD1775,uM,uM,A2058
5,0.35,0.0325,10.71348743,5-FU,AZD1775,uM,uM,A2058
5,0.35,0.08,11.13938984,5-FU,AZD1775,uM,uM,A2058
5,0.35,0.2,70.10098381,5-FU,AZD1775,uM,uM,A2058
5,0.35,0.5,89.43578214,5-FU,AZD1775,uM,uM,A2058
5,1.08,0,2.410257371,5-FU,AZD1775,uM,uM,A2058
5,1.08,0.0325,34.75773832,5-FU,AZD1775,uM,uM,A2058
5,1.08,0.08,50.11137876,5-FU,AZD1775,uM,uM,A2058
5,1.08,0.2,92.44494384,5-FU,AZD1775,uM,uM,A2058
5,1.08,0.5,89.86807456,5-FU,AZD1775,uM,uM,A2058
5,3.25,0,15.05005528,5-FU,AZD1775,uM,uM,A2058
5,3.25,0.0325,32.05657578,5-FU,AZD1775,uM,uM,A2058
5,3.25,0.08,33.3467853,5-FU,AZD1775,uM,uM,A2058
5,3.25,0.2,58.08782122,5-FU,AZD1775,uM,uM,A2058
5,3.25,0.5,90.34601065,5-FU,AZD1775,uM,uM,A2058
5,10,0,39.70676951,5-FU,AZD1775,uM,uM,A2058
5,10,0.0325,31.89169461,5-FU,AZD1775,uM,uM,A2058
5,10,0.08,41.59212493,5-FU,AZD1775,uM,uM,A2058
5,10,0.2,59.0735939,5-FU,AZD1775,uM,uM,A2058
5,10,0.5,88.57861983,5-FU,AZD1775,uM,uM,A2058
6,0,0,-0.000626454,5-FU,AZD1775,uM,uM,A2058
6,0,0.0325,0.800896132,5-FU,AZD1775,uM,uM,A2058
6,0,0.08,4.086087781,5-FU,AZD1775,uM,uM,A2058
6,0,0.2,31.53099507,5-FU,AZD1775,uM,uM,A2058
6,0,0.5,82.46170898,5-FU,AZD1775,uM,uM,A2058
6,0.35,0,-1.753521357,5-FU,AZD1775,uM,uM,A2058
6,0.35,0.0325,-10.63751257,5-FU,AZD1775,uM,uM,A2058
6,0.35,0.08,4.453389843,5-FU,AZD1775,uM,uM,A2058
6,0.35,0.2,49.72398381,5-FU,AZD1775,uM,uM,A2058
6,0.35,0.5,87.20678214,5-FU,AZD1775,uM,uM,A2058
6,1.08,0,2.410257371,5-FU,AZD1775,uM,uM,A2058
6,1.08,0.0325,1.241738325,5-FU,AZD1775,uM,uM,A2058
6,1.08,0.08,10.33137876,5-FU,AZD1775,uM,uM,A2058
6,1.08,0.2,67.09594384,5-FU,AZD1775,uM,uM,A2058
6,1.08,0.5,87.63407456,5-FU,AZD1775,uM,uM,A2058
6,3.25,0,15.05005528,5-FU,AZD1775,uM,uM,A2058
6,3.25,0.0325,20.48057578,5-FU,AZD1775,uM,uM,A2058
6,3.25,0.08,26.5877853,5-FU,AZD1775,uM,uM,A2058
6,3.25,0.2,57.39782122,5-FU,AZD1775,uM,uM,A2058
6,3.25,0.5,85.36201065,5-FU,AZD1775,uM,uM,A2058
6,10,0,39.70676951,5-FU,AZD1775,uM,uM,A2058
6,10,0.0325,40.96769461,5-FU,AZD1775,uM,uM,A2058
6,10,0.08,48.16412493,5-FU,AZD1775,uM,uM,A2058
6,10,0.2,69.1135939,5-FU,AZD1775,uM,uM,A2058
6,10,0.5,90.53761983,5-FU,AZD1775,uM,uM,A2058
7,0,0,-0.000626454,5-FU,AZD1775,uM,uM,A2058
7,0,0.0325,0.800896132,5-FU,AZD1775,uM,uM,A2058
7,0,0.08,4.086087781,5-FU,AZD1775,uM,uM,A2058
7,0,0.2,31.53099507,5-FU,AZD1775,uM,uM,A2058
7,0,0.5,82.46170898,5-FU,AZD1775,uM,uM,A2058
7,0.35,0,-1.753521357,5-FU,AZD1775,uM,uM,A2058
7,0.35,0.0325,9.253487429,5-FU,AZD1775,uM,uM,A2058
7,0.35,0.08,7.093389843,5-FU,AZD1775,uM,uM,A2058
7,0.35,0.2,52.11898381,5-FU,AZD1775,uM,uM,A2058
7,0.35,0.5,86.83578214,5-FU,AZD1775,uM,uM,A2058
7,1.08,0,2.410257371,5-FU,AZD1775,uM,uM,A2058
7,1.08,0.0325,48.00073832,5-FU,AZD1775,uM,uM,A2058
7,1.08,0.08,47.51037876,5-FU,AZD1775,uM,uM,A2058
7,1.08,0.2,68.16394384,5-FU,AZD1775,uM,uM,A2058
7,1.08,0.5,89.91707456,5-FU,AZD1775,uM,uM,A2058
7,3.25,0,15.05005528,5-FU,AZD1775,uM,uM,A2058
7,3.25,0.0325,26.91357578,5-FU,AZD1775,uM,uM,A2058
7,3.25,0.08,40.3517853,5-FU,AZD1775,uM,uM,A2058
7,3.25,0.2,66.13082122,5-FU,AZD1775,uM,uM,A2058
7,3.25,0.5,90.01501065,5-FU,AZD1775,uM,uM,A2058
7,10,0,39.70676951,5-FU,AZD1775,uM,uM,A2058
7,10,0.0325,46.44069461,5-FU,AZD1775,uM,uM,A2058
7,10,0.08,47.42612493,5-FU,AZD1775,uM,uM,A2058
7,10,0.2,63.5105939,5-FU,AZD1775,uM,uM,A2058
7,10,0.5,84.53461983,5-FU,AZD1775,uM,uM,A2058
8,0,0,-0.000626454,5-FU,AZD1775,uM,uM,A2058
8,0,0.0325,0.800896132,5-FU,AZD1775,uM,uM,A2058
8,0,0.08,4.086087781,5-FU,AZD1775,uM,uM,A2058
8,0,0.2,31.53099507,5-FU,AZD1775,uM,uM,A2058
8,0,0.5,82.46170898,5-FU,AZD1775,uM,uM,A2058
8,0.35,0,-1.753521357,5-FU,AZD1775,uM,uM,A2058
8,0.35,0.0325,-2.880512571,5-FU,AZD1775,uM,uM,A2058
8,0.35,0.08,10.99738984,5-FU,AZD1775,uM,uM,A2058
8,0.35,0.2,36.86598381,5-FU,AZD1775,uM,uM,A2058
8,0.35,0.5,89.82378214,5-FU,AZD1775,uM,uM,A2058
8,1.08,0,2.410257371,5-FU,AZD1775,uM,uM,A2058
8,1.08,0.0325,8.831738325,5-FU,AZD1775,uM,uM,A2058
8,1.08,0.08,8.689378759,5-FU,AZD1775,uM,uM,A2058
8,1.08,0.2,55.29594384,5-FU,AZD1775,uM,uM,A2058
8,1.08,0.5,91.64507456,5-FU,AZD1775,uM,uM,A2058
8,3.25,0,15.05005528,5-FU,AZD1775,uM,uM,A2058
8,3.25,0.0325,30.02957578,5-FU,AZD1775,uM,uM,A2058
8,3.25,0.08,38.6957853,5-FU,AZD1775,uM,uM,A2058
8,3.25,0.2,53.74182122,5-FU,AZD1775,uM,uM,A2058
8,3.25,0.5,89.14401065,5-FU,AZD1775,uM,uM,A2058
8,10,0,39.70676951,5-FU,AZD1775,uM,uM,A2058
8,10,0.0325,42.39769461,5-FU,AZD1775,uM,uM,A2058
8,10,0.08,47.39112493,5-FU,AZD1775,uM,uM,A2058
8,10,0.2,63.0355939,5-FU,AZD1775,uM,uM,A2058
8,10,0.5,85.36061983,5-FU,AZD1775,uM,uM,A2058
9,0,0,-0.000626454,5-FU,BEZ-235,uM,uM,A2058
9,0,0.0045,1.049681532,5-FU,BEZ-235,uM,uM,A2058
9,0,0.02,35.78156178,5-FU,BEZ-235,uM,uM,A2058
9,0,0.09,72.25843507,5-FU,BEZ-235,uM,uM,A2058
9,0,0.4,77.69210898,5-FU,BEZ-235,uM,uM,A2058
9,0.35,0,-1.753521357,5-FU,BEZ-235,uM,uM,A2058
9,0.35,0.0045,7.935487429,5-FU,BEZ-235,uM,uM,A2058
9,0.35,0.02,19.89138984,5-FU,BEZ-235,uM,uM,A2058
9,0.35,0.09,76.02498381,5-FU,BEZ-235,uM,uM,A2058
9,0.35,0.4,85.29178214,5-FU,BEZ-235,uM,uM,A2058
9,1.08,0,2.410257371,5-FU,BEZ-235,uM,uM,A2058
9,1.08,0.0045,11.12173832,5-FU,BEZ-235,uM,uM,A2058
9,1.08,0.02,39.45737876,5-FU,BEZ-235,uM,uM,A2058
9,1.08,0.09,77.36494384,5-FU,BEZ-235,uM,uM,A2058
9,1.08,0.4,87.78507456,5-FU,BEZ-235,uM,uM,A2058
9,3.25,0,15.05005528,5-FU,BEZ-235,uM,uM,A2058
9,3.25,0.0045,26.71057578,5-FU,BEZ-235,uM,uM,A2058
9,3.25,0.02,51.2617853,5-FU,BEZ-235,uM,uM,A2058
9,3.25,0.09,79.93582122,5-FU,BEZ-235,uM,uM,A2058
9,3.25,0.4,90.37701065,5-FU,BEZ-235,uM,uM,A2058
9,10,0,39.70676951,5-FU,BEZ-235,uM,uM,A2058
9,10,0.0045,40.87569461,5-FU,BEZ-235,uM,uM,A2058
9,10,0.02,58.31112493,5-FU,BEZ-235,uM,uM,A2058
9,10,0.09,81.9535939,5-FU,BEZ-235,uM,uM,A2058
9,10,0.4,85.01661983,5-FU,BEZ-235,uM,uM,A2058
10,0,0,-0.000626454,5-FU,BEZ-235,uM,uM,A2058
10,0,0.0045,1.049681532,5-FU,BEZ-235,uM,uM,A2058
10,0,0.02,35.78156178,5-FU,BEZ-235,uM,uM,A2058
10,0,0.09,72.25843507,5-FU,BEZ-235,uM,uM,A2058
10,0,0.4,77.69210898,5-FU,BEZ-235,uM,uM,A2058
10,0.35,0,-1.753521357,5-FU,BEZ-235,uM,uM,A2058
10,0.35,0.0045,5.342487429,5-FU,BEZ-235,uM,uM,A2058
10,0.35,0.02,28.97438984,5-FU,BEZ-235,uM,uM,A2058
10,0.35,0.09,80.57898381,5-FU,BEZ-235,uM,uM,A2058
10,0.35,0.4,85.56878214,5-FU,BEZ-235,uM,uM,A2058
10,1.08,0,2.410257371,5-FU,BEZ-235,uM,uM,A2058
10,1.08,0.0045,18.15873832,5-FU,BEZ-235,uM,uM,A2058
10,1.08,0.02,42.37037876,5-FU,BEZ-235,uM,uM,A2058
10,1.08,0.09,78.14594384,5-FU,BEZ-235,uM,uM,A2058
10,1.08,0.4,86.46407456,5-FU,BEZ-235,uM,uM,A2058
10,3.25,0,15.05005528,5-FU,BEZ-235,uM,uM,A2058
10,3.25,0.0045,25.83857578,5-FU,BEZ-235,uM,uM,A2058
10,3.25,0.02,42.5377853,5-FU,BEZ-235,uM,uM,A2058
10,3.25,0.09,74.41982122,5-FU,BEZ-235,uM,uM,A2058
10,3.25,0.4,85.69901065,5-FU,BEZ-235,uM,uM,A2058
10,10,0,39.70676951,5-FU,BEZ-235,uM,uM,A2058
10,10,0.0045,44.87269461,5-FU,BEZ-235,uM,uM,A2058
10,10,0.02,55.81312493,5-FU,BEZ-235,uM,uM,A2058
10,10,0.09,79.9415939,5-FU,BEZ-235,uM,uM,A2058
10,10,0.4,83.18961983,5-FU,BEZ-235,uM,uM,A2058
